Description,Price,ImageLink,Rating,ReviewCount,Url
"AmazonCommercial Ergonomic Executive Office Desk Chair with Flip-up Armrests - Adjustable Height, Tilt and Lumbar Support - Black Bonded Leather",$278.28,https://m.media-amazon.com/images/I/81zthdYgbjL._AC_UL320_.jpg,4.3 out of 5 stars,"2,448",https://www.amazon.com/AmazonCommercial-Ergonomic-High-Back-Rhombus-Stitched-Executive/dp/B07V5WKJM4/ref=sr_1_42?keywords=chairs&qid=1662880427&sr=8-42
"Baxton Studio BBT8013-Grey Chair armchairs, Grey, 27.11 x 29.45 x 32.96",$168.10,https://m.media-amazon.com/images/I/81CMY-MNnyL._AC_UL320_.jpg,4.4 out of 5 stars,"1,245",https://www.amazon.com/Baxton-Studio-Mid-Century-Upholstered-Chair/dp/B019516WR4/ref=sr_1_43?keywords=chairs&qid=1662880427&sr=8-43
Mainstay Butterfly Chair in Teal Faux Fur Finish,$51.50,https://m.media-amazon.com/images/I/91o+SvPM0xL._AC_UL320_.jpg,4.4 out of 5 stars,593,https://www.amazon.com/Mainstay-Butterfly-Chair-Grey-Finish/dp/B081ZWJHW4/ref=sr_1_44?keywords=chairs&qid=1662880427&sr=8-44
"Armen Living Summer Chair in Charcoal Fabric and Walnut Wood Finish, 31"" x 25"" x 22""",$102.00,https://m.media-amazon.com/images/I/81fNYhjJPBL._AC_UL320_.jpg,4.5 out of 5 stars,"2,125",https://www.amazon.com/Armen-Living-LCSUCHWACH-Summer-Charcoal/dp/B015ETINHS/ref=sr_1_45?keywords=chairs&qid=1662880427&sr=8-45
"Home Office Chair Ergonomic Desk Chair Mid-Back Mesh Computer Chair Lumbar Support Comfortable Executive Adjustable Rolling Swivel Task Chair with Armrests,Black",$33.99,https://m.media-amazon.com/images/I/71LIaGhKn9S._AC_UL320_.jpg,4.2 out of 5 stars,"9,185",https://www.amazon.com/Home-Office-Chair-Comfortable-Adjustable/dp/B08P8JKN6J/ref=sr_1_46_mod_primary_new?keywords=chairs&qid=1662880427&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-46
Neo Chair Office Chair Computer Desk Chair Gaming - Ergonomic High Back Cushion Lumbar Support with Wheels Comfortable Black Leather Racing Seat Adjustable Swivel Rolling Home Executive,$119.98,https://m.media-amazon.com/images/I/612n5M3imtL._AC_UL320_.jpg,4.2 out of 5 stars,"8,403",https://www.amazon.com/NEO-CHAIR-Executive-Leather-Computer/dp/B07DFBG7FP/ref=sr_1_47?keywords=chairs&qid=1662880427&sr=8-47
"GTPLAYER Gaming Chair, Computer with Footrest and Lumbar Support Height Adjustable with 360°-Swivel Seat and Headrest for Office or Gaming (White)",$99.99,https://m.media-amazon.com/images/I/61D57mRs3tL._AC_UL320_.jpg,4.3 out of 5 stars,"2,330",https://www.amazon.com/GTPLAYER-Computer-Footrest-Adjustable-360%C2%B0-Swivel/dp/B0BBPRZHRX/ref=sr_1_48?keywords=chairs&qid=1662880427&sr=8-48
"Home Office Desk Chair, Modern Adjustable Low Back Rolling Chair Twill Fabric Upholstered Chair Armless Cute Chair with Wheels for Bedroom, Classroom, and Vanity Room (Green)",$89.99,https://m.media-amazon.com/images/I/61YjhIUiqhL._AC_UL320_.jpg,4.5 out of 5 stars,"1,011",https://www.amazon.com/Adjustable-Rolling-Upholstered-Armless-Classroom/dp/B09FTBNHCJ/ref=sr_1_49?keywords=chairs&qid=1662880427&sr=8-49
"Accent Chair, Full Leather Chair, Mid Century Modern Chair Retro Armchair with Wood Frames Upholstered Removable Cushions, Leisure Slipper Chair, for Living Room Bedroom",$499.99,https://m.media-amazon.com/images/I/81LRX0Gd-DL._AC_UL320_.jpg,4.9 out of 5 stars,14,https://www.amazon.com/Leather-Armchair-Upholstered-Removable-Cushions/dp/B0B5DJ5VF3/ref=sr_1_50?keywords=chairs&qid=1662880427&sr=8-50
"Christopher Knight Home Evelyn Mid Century Modern Fabric Arm Chair, Dark Gray, Walnut",$236.45,https://m.media-amazon.com/images/I/81Stv6ruWuL._AC_UL320_.jpg,4.4 out of 5 stars,656,https://www.amazon.com/Evelyn-Century-Modern-Fabric-Chair/dp/B07F25J3KX/ref=sr_1_51?keywords=chairs&qid=1662880427&sr=8-51
Yongqiang Upholstered Accent Chair for Bedroom Living Room Chairs Lounge Chair with Wood Legs Cream Fabric,$169.99,https://m.media-amazon.com/images/I/71UBmQV1tRL._AC_UL320_.jpg,4.4 out of 5 stars,"1,248",https://www.amazon.com/Yongqiang-Upholstered-Bedroom-Living-Chairs/dp/B08DWS5K4Y/ref=sr_1_52?keywords=chairs&qid=1662880427&sr=8-52
"Sytas Home Office Chair Ergonomic, mesh Desk Chair Lumbar Support, Ergonomic Computer Chair Adjustable armrest",$139.99,https://m.media-amazon.com/images/I/61YwCl3ejNL._AC_UL320_.jpg,4.2 out of 5 stars,890,https://www.amazon.com/Sytas-Ergonomic-Comfortable-90%C2%B0Flip-up-Adjustable/dp/B09BB6LZNK/ref=sr_1_53?keywords=chairs&qid=1662880427&sr=8-53
"Office Gaming Chair, PU Leather Computer Chair, Comfortable Swivel Task Home Office Desk Chair High Back with Adjustable Footrest, Black/Red",$99.99,https://m.media-amazon.com/images/I/51hcwpXLzUL._AC_UL320_.jpg,4.3 out of 5 stars,196,https://www.amazon.com/Gaming-Chair-Comfortable-Adjustable-Footrest/dp/B09WMV1YSS/ref=sr_1_54?keywords=chairs&qid=1662880427&sr=8-54
"CangLong Mid Century Modern DSW Side Chair with Wood Legs for Kitchen, Living Dining Room, Pack of 1, White",$79.99,https://m.media-amazon.com/images/I/51yifZpYZUL._AC_UL320_.jpg,4.5 out of 5 stars,"2,052",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A02539061CWJ9RMELMU1S&url=%2FCangLong-Century-Modern-Kitchen-Living%2Fdp%2FB082FGQKVL%2Fref%3Dsr_1_55_sspa%3Fkeywords%3Dchairs%26qid%3D1662880427%26sr%3D8-55-spons%26psc%3D1&qualifier=1662880427&id=3740966683477972&widgetName=sp_btf
"EBELLO Ergonomic Office Chair Desk Chair Computer Chair High Back Mesh Office Chairs Back Support Home Office Desk Chairs with Lumbar Support and Headrest, Height Adjustable, 280 lbs, Grey",$189.97,https://m.media-amazon.com/images/I/719r62JUntL._AC_UL320_.jpg,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01520212L3W0G18XCN6E&url=%2FEBELLO-Ergonomic-Computer-Headrest-Adjustable%2Fdp%2FB0BCF3PNNF%2Fref%3Dsr_1_56_sspa%3Fkeywords%3Dchairs%26qid%3D1662880427%26sr%3D8-56-spons%26psc%3D1&qualifier=1662880427&id=3740966683477972&widgetName=sp_btf
Devoko Office Reception Chairs Executive Leather Guest Chairs with Armrest Ergonomic Upholstered Lumber Support Side Chairs Set of 2,$111.99,https://m.media-amazon.com/images/I/61JCCY8yiNL._AC_UL320_.jpg,4.4 out of 5 stars,624,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A06047313PXM35NKN7LNQ&url=%2FDevoko-Reception-Executive-Ergonomic-Upholstered%2Fdp%2FB07L2S5XGF%2Fref%3Dsr_1_57_sspa%3Fkeywords%3Dchairs%26qid%3D1662880427%26sr%3D8-57-spons%26psc%3D1&qualifier=1662880427&id=3740966683477972&widgetName=sp_btf
"KERMS Padded High-Back Office Computer Desk Chair, Reclining Swivel Managerial Chair with Adjustable Headrest and Lumbar Support (Blue)",$174.99,https://m.media-amazon.com/images/I/61LRj8XUNgL._AC_UL320_.jpg,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0489815HYWV3MRMCP99&url=%2FKERMS-High-Back-Reclining-Managerial-Adjustable%2Fdp%2FB0B9LBYS2J%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dchairs%26qid%3D1662880427%26sr%3D8-58-spons%26psc%3D1&qualifier=1662880427&id=3740966683477972&widgetName=sp_btf
The Swivel by Nurture& | Premium Glider Swivel Chair for Nursery or Living Room with Built-in USB Charger and Stain-Resistant Performance Fabric (Ivory),$799.00,https://m.media-amazon.com/images/I/51saTzkVoCL._AC_UL320_.jpg,4.5 out of 5 stars,19,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A06739202C61MN3PAGAH1&url=%2FNurture-Premium-Nursery-Stain-Resistant-Performance%2Fdp%2FB09G5884LT%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dchairs%26qid%3D1662880427%26sr%3D8-59-spons%26psc%3D1&qualifier=1662880427&id=3740966683477972&widgetName=sp_btf
"Giantex 4-Pack Folding Chairs with Metal Frame and Fabric Upholstered Padded Seat, Foldable Home Office Party Chair Set (Grey)",$199.99,https://m.media-amazon.com/images/I/71RSVNNuvmL._AC_UL320_.jpg,4.4 out of 5 stars,78,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0759075XSH2GV8F6K5G&url=%2FGiantex-4-Pack-Folding-Upholstered-Foldable%2Fdp%2FB06Y2T4L6F%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dchairs%26qid%3D1662880427%26sr%3D8-60-spons%26psc%3D1&qualifier=1662880427&id=3740966683477972&widgetName=sp_btf
